dataset:"WM-774,20x20x10,2,3,2025-09-16 00:04:19
DG-324,25x25x20,4,5,2025-09-16 00:04:19
MG-008,50x20x20,8,5,2025-09-16 00:04:19
LV-337,25x25x10,20,4,2025-09-16 00:04:19
MR-009,40x30x10,8,4,2025-09-16 00:44:54
LV-337,25x25x10,20,5,2025-09-16 00:44:54
GT-243,30x10x10,6,5,2025-09-16 00:44:54
FE-213,40x20x10,6,1,2025-09-16 01:21:50
BR-178,30x30x5,8,2,2025-09-16 01:21:50
WM-774,20x20x10,2,5,2025-09-16 01:21:50
LV-337,25x25x10,20,2,2025-09-16 01:21:50
LV-337,25x25x10,20,1,2025-09-16 01:26:14
AZ-011,40x25x10,6,2,2025-09-16 01:26:14
WM-774,20x20x10,2,3,2025-09-16 01:26:14
DG-324,25x25x20,4,2,2025-09-16 01:26:14
PL-014,40x20x10,2,1,2025-09-16 01:40:17
AZ-011,40x25x10,6,1,2025-09-16 01:40:17
PL-013,30x20x5,4,4,2025-09-16 01:40:17
FE-213,40x20x10,6,4,2025-09-16 01:40:17
MR-009,40x30x10,8,4,2025-09-16 01:40:17
AZ-011,40x25x10,6,1,2025-09-16 02:59:03
BP-896,30x20x10,10,5,2025-09-16 02:59:03
WM-774,20x20x10,2,1,2025-09-16 02:59:03
PL-025,40x30x20,10,1,2025-09-16 02:59:03
FE-213,40x20x10,6,1,2025-09-16 02:59:03
GT-243,30x10x10,6,2,2025-09-16 03:03:21
AZ-011,40x25x10,6,3,2025-09-16 03:03:21
PL-013,30x20x5,4,4,2025-09-16 03:03:21
GK-874,25x10x5,4,5,2025-09-16 03:03:21
AZ-011,40x25x10,6,5,2025-09-16 03:13:05
PL-013,30x20x5,4,2,2025-09-16 03:13:05
DG-324,25x25x20,4,4,2025-09-16 03:13:05
PL-014,40x20x10,2,2,2025-09-16 03:13:05
MR-009,40x30x10,8,5,2025-09-16 03:15:28
GK-874,25x10x5,4,2,2025-09-16 03:15:28
LV-337,25x25x10,20,2,2025-09-16 03:15:28
FL-643,20x20x5,8,3,2025-09-16 03:15:28
FE-213,40x20x10,6,3,2025-09-16 03:18:12
PL-014,40x20x10,2,1,2025-09-16 03:18:12
BR-178,30x30x5,8,3,2025-09-16 03:18:12
AZ-011,40x25x10,6,5,2025-09-16 03:18:12
PL-013,30x20x5,4,5,2025-09-16 04:29:40
DG-324,25x25x20,4,3,2025-09-16 04:29:40
MG-008,50x20x20,8,3,2025-09-16 04:29:40
MG-008,50x20x20,8,1,2025-09-16 05:39:53
